Respondent ID,Collector ID,Start Date,End Date,IP Address,Email Address,First Name,Last Name,Custom Data 1,collector_type_source,What religious affiliation are you?,,How many muslim people have you talked to / with in the last 7 days ?,How do you feel about Muslims people in America,What is your level of education?,Where do you get your news from?,,How comfortable do you feel interacting with Muslims in your community?,How often do you hear positive things about Muslims in the media?,Gender,Age,Major US Region,Device,Household Income
118636438423,456809113,06/28/2024 12:05:22 AM,06/28/2024 12:05:53 AM,,,,,a817638619e404b2eeab65c8c9,smc,Christian (any denomination),,2 to 4,Good,Graduate school,Twitter,,Very comfortable,Often,male,45_to_60,middle_atlantic,android_mobile,25000_to_49999
118636438254,456809113,06/28/2024 12:04:15 AM,06/28/2024 12:05:27 AM,,,,,1c31c5e3b29282097e1b7dcb4e,smc,Christian (any denomination),,2 to 4,Good,Graduate school,CNN,,Comfortable,Often,male,30_to_44,middle_atlantic,android_mobile,200000_and_up
118636438176,456809113,06/28/2024 12:02:02 AM,06/28/2024 12:05:14 AM,,,,,d9a8708872d037543e8599642e,smc,Other (please specify),Agnostic,None - 0,Neutral,High school or less,Other (please specify),I don’t watch any news,Very comfortable,I don't know,female,45_to_60,south_atlantic,ios_mobile,25000_to_49999
118636437916,456809113,06/28/2024 12:03:43 AM,06/28/2024 12:04:32 AM,,,,,1606320bab770b4e23a6bb3bd0,smc,Christian (any denomination),,More than 10,Good,College,Facebook,,Very comfortable,Often,male,45_to_60,middle_atlantic,android_mobile,175000_to_199999
118636437691,456809113,06/28/2024 12:03:17 AM,06/28/2024 12:03:59 AM,,,,,4746441fd289f7ab0c3f64b53d,smc,Muslim,,More than 10,Good,Graduate school,Twitter,,Very comfortable,Often,male,30_to_44,middle_atlantic,android_mobile,150000_to_174999
118636437295,456809113,06/28/2024 12:02:09 AM,06/28/2024 12:02:59 AM,,,,,09fc566fa49e7a1d6ca05c6457,smc,Atheist,,None - 0,Neutral,Some College,FOX News,,Comfortable,Not often,female,45_to_60,south_atlantic,ios_mobile,75000_to_99999
118636437266,456809113,06/28/2024 12:02:14 AM,06/28/2024 12:02:53 AM,,,,,e98b1631aaecca9c36b3764588,smc,Christian (any denomination),,None - 0,Neutral,High school or less,FOX News,,Very comfortable,Not often,female,45_to_60,west_south_central,ios_mobile,25000_to_49999
118636437170,456809113,06/28/2024 12:02:08 AM,06/28/2024 12:02:39 AM,,,,,acbb779e1f606b0e58eebd6356,smc,Buddhist,,More than 10,Good,High school or less,Facebook,,Very comfortable,Often,male,45_to_60,middle_atlantic,android_mobile,25000_to_49999
118636436892,456809113,06/28/2024 12:00:17 AM,06/28/2024 12:01:57 AM,,,,,3b988603e9fcc3038c6ad3b2b8,smc,Christian (any denomination),,1,Neutral,Some College,Other (please specify),Local news,Comfortable,I don't know,female,45_to_60,new_england,ios_mobile,10000_to_24999
118636365434,456809113,06/27/2024 08:23:37 PM,06/27/2024 08:24:38 PM,,,,,aa2ff5096c22d33cf0123d1e04,smc,Christian (any denomination),,5 to 10,Good,Some College,Facebook,,Comfortable,Often,female,30_to_44,pacific,android_mobile,25000_to_49999
118636365396,456809113,06/27/2024 08:23:49 PM,06/27/2024 08:24:32 PM,,,,,e9e0f298d3f45620bb6bba754a,smc,Christian (any denomination),,1,Good,Some College,FOX News,,Very comfortable,I don't know,female,30_to_44,pacific,ios_mobile,0_to_9999
118636365376,456809113,06/27/2024 08:23:39 PM,06/27/2024 08:24:29 PM,,,,,673395442f49c9bf5cf14a49e9,smc,Atheist,,2 to 4,Good,College,NPR,,Comfortable,Not often,female,30_to_44,mountain,android_mobile,25000_to_49999
118636365334,456809113,06/27/2024 08:23:54 PM,06/27/2024 08:24:23 PM,,,,,5b093f6d25817ee723e344d195,smc,Atheist,,None - 0,Good,College,Twitter,,Very comfortable,Not often,female,18_to_29,south_atlantic,android_mobile,25000_to_49999
118636365242,456809113,06/27/2024 08:23:39 PM,06/27/2024 08:24:08 PM,,,,,86626db3202e37d3941749a434,smc,Muslim,,5 to 10,Good,Graduate school,Twitter,,Very comfortable,Not often,female,30_to_44,west_south_central,ios_mobile,50000_to_74999
118636365225,456809113,06/27/2024 08:23:38 PM,06/27/2024 08:24:07 PM,,,,,d62763f922cae96a320ac82fda,smc,Christian (any denomination),,None - 0,Neutral,College,CNN,,Comfortable,Often,female,30_to_44,pacific,ios_mobile,50000_to_74999
118636365190,456809113,06/27/2024 08:23:18 PM,06/27/2024 08:24:00 PM,,,,,ab030287689a8d5ec91e49f5d3,smc,Muslim,,More than 10,Good,Graduate school,Facebook,,Very comfortable,Often,female,30_to_44,pacific,android_mobile,125000_to_149999
118636365173,456809113,06/27/2024 08:23:38 PM,06/27/2024 08:23:56 PM,,,,,108be8a1082ab24372784864cd,smc,Christian (any denomination),,2 to 4,Good,High school or less,Facebook,,Very comfortable,Not often,female,18_to_29,pacific,ios_mobile,0_to_9999
118636365092,456809113,06/27/2024 08:23:22 PM,06/27/2024 08:23:45 PM,,,,,f423528a31164cdf7661fe0e86,smc,Hindu,,2 to 4,Good,College,Twitter,,Comfortable,Often,female,30_to_44,west_south_central,ios_mobile,75000_to_99999
118636365009,456809113,06/27/2024 08:22:42 PM,06/27/2024 08:23:33 PM,,,,,cc3ac99cd1a04a12893240b8e2,smc,Hindu,,None - 0,Neutral,College,Facebook,,Neutral,I don't know,female,30_to_44,middle_atlantic,ios_mobile,0_to_9999
118636364838,456809113,06/27/2024 08:22:23 PM,06/27/2024 08:23:05 PM,,,,,a26c0a937ece0e6f229b0396e0,smc,Christian (any denomination),,1,Good,College,Facebook,,Neutral,I don't know,female,18_to_29,west_south_central,ios_mobile,25000_to_49999
118636364744,456809113,06/27/2024 08:22:32 PM,06/27/2024 08:22:51 PM,,,,,ecdb76439aaf0ce7ab75714f1d,smc,Muslim,,2 to 4,Good,Some College,Twitter,,Comfortable,Often,female,18_to_29,east_north_central,ios_mobile,25000_to_49999
118636364471,456809113,06/27/2024 08:17:53 PM,06/27/2024 08:22:11 PM,,,,,a06001816e3bd7787931dcd792,smc,Christian (any denomination),,More than 10,Good,Graduate school,Twitter,,Comfortable,Often,female,30_to_44,south_atlantic,android_mobile,125000_to_149999
118636361462,456809113,06/27/2024 08:14:29 PM,06/27/2024 08:14:51 PM,,,,,59da8e6971f43e8bb3e89b699e,smc,Christian (any denomination),,2 to 4,Neutral,Some College,Facebook,,Neutral,Not often,female,30_to_44,west_south_central,ios_mobile,25000_to_49999
118636354336,456809113,06/27/2024 08:00:11 PM,06/27/2024 08:00:29 PM,,,,,04735bd6fd002fe23e53c9a4c7,smc,Christian (any denomination),,None - 0,Good,High school or less,Facebook,,Very comfortable,Often,female,30_to_44,west_south_central,ios_mobile,50000_to_74999
118636352004,456809113,06/27/2024 07:53:42 PM,06/27/2024 07:53:59 PM,,,,,112a9a4f20601b43bb3e8340a3,smc,Muslim,,5 to 10,Bad,Graduate school,FOX News,,Comfortable,Often,female,30_to_44,south_atlantic,android_mobile,175000_to_199999
118636351308,456809113,06/27/2024 07:51:36 PM,06/27/2024 07:51:56 PM,,,,,dbe171abece9455c0157031d76,smc,Muslim,,5 to 10,Good,High school or less,Facebook,,Very comfortable,Often,female,30_to_44,middle_atlantic,android_mobile,150000_to_174999
118636349392,456809113,06/27/2024 07:45:48 PM,06/27/2024 07:46:14 PM,,,,,47132dfc6dff4a4c144ed55391,smc,Christian (any denomination),,2 to 4,Good,Graduate school,Twitter,,Comfortable,Often,male,30_to_44,south_atlantic,android_mobile,150000_to_174999
118636347330,456809113,06/27/2024 07:39:29 PM,06/27/2024 07:40:09 PM,,,,,60b1d7002696837928f6c62026,smc,Christian (any denomination),,None - 0,Neutral,Graduate school,Facebook,,Comfortable,I don't know,female,30_to_44,middle_atlantic,ios_mobile,100000_to_124999
118636341084,456809113,06/27/2024 07:20:06 PM,06/27/2024 07:21:17 PM,,,,,5f912d6590949ebc825bfd0c93,smc,Christian (any denomination),,5 to 10,Good,Graduate school,Twitter,,Very comfortable,Often,male,30_to_44,south_atlantic,android_mobile,150000_to_174999
118636337686,456809113,06/27/2024 07:10:58 PM,06/27/2024 07:12:08 PM,,,,,83df5e8eb4ee1bc96412f8d6ab,smc,Other (please specify),None,None - 0,Neutral,Graduate school,Other (please specify),Tik tok,Neutral,I don't know,male,45_to_60,south_atlantic,ios_mobile,50000_to_74999
118636315524,456809113,06/27/2024 06:15:48 PM,06/27/2024 06:16:06 PM,,,,,2e53d0f7bd8c8e2ba065a68d1b,smc,Christian (any denomination),,2 to 4,Good,Graduate school,Facebook,,Very comfortable,Often,male,30_to_44,pacific,android_mobile,75000_to_99999
118636288724,456809113,06/27/2024 05:14:06 PM,06/27/2024 05:14:36 PM,,,,,68f7e95404303cfeac710e8418,smc,Buddhist,,2 to 4,Good,College,NPR,,Very comfortable,Often,male,18_to_29,south_atlantic,ios_mobile,25000_to_49999
118636284292,456809113,06/27/2024 05:03:57 PM,06/27/2024 05:04:42 PM,,,,,067b30debb9ed33ba4a888c529,smc,Christian (any denomination),,2 to 4,Good,College,Twitter,,Very comfortable,Often,female,30_to_44,south_atlantic,android_mobile,125000_to_149999
118636278697,456809113,06/27/2024 04:52:09 PM,06/27/2024 04:52:34 PM,,,,,42ca0f74b13b2f6f341cd0429b,smc,Christian (any denomination),,2 to 4,Good,College,Twitter,,Very comfortable,Often,female,30_to_44,pacific,android_mobile,125000_to_149999
118636264027,456809113,06/27/2024 04:21:50 PM,06/27/2024 04:22:11 PM,,,,,295b3ffd83bae54307c4b66a96,smc,Christian (any denomination),,None - 0,Good,College,Facebook,,Very comfortable,Often,female,45_to_60,south_atlantic,android_mobile,10000_to_24999
118636229500,456809113,06/27/2024 03:17:32 PM,06/27/2024 03:17:47 PM,,,,,b597986227e9621dd8e2d90f97,smc,Christian (any denomination),,2 to 4,Good,Graduate school,CNN,,Comfortable,Often,female,30_to_44,pacific,android_mobile,125000_to_149999
118636226860,456809113,06/27/2024 03:12:51 PM,06/27/2024 03:13:15 PM,,,,,ade87df365837431e8bd4031fa,smc,Christian (any denomination),,2 to 4,Good,Graduate school,Facebook,,Comfortable,Often,male,30_to_44,pacific,android_mobile,150000_to_174999
118636198969,456809113,06/27/2024 02:26:54 PM,06/27/2024 02:27:24 PM,,,,,e5a0bdce019864838c953f6725,smc,Christian (any denomination),,2 to 4,Good,Graduate school,CNN,,Very comfortable,Often,male,30_to_44,south_atlantic,android_mobile,125000_to_149999
118636196935,456809113,06/27/2024 02:23:18 PM,06/27/2024 02:24:08 PM,,,,,2f2ce40e390c8946d5183dfe3a,smc,Christian (any denomination),,5 to 10,Good,Graduate school,FOX News,,Very comfortable,Often,female,30_to_44,south_atlantic,android_mobile,125000_to_149999
118636179928,456809113,06/27/2024 01:59:10 PM,06/27/2024 01:59:26 PM,,,,,659b20fb29b37dda2517269411,smc,Christian (any denomination),,2 to 4,Good,Some College,Facebook,,Very comfortable,Often,female,30_to_44,pacific,android_mobile,150000_to_174999
118636179462,456809113,06/27/2024 01:58:07 PM,06/27/2024 01:58:46 PM,,,,,dc7f0824f968fc50eb59f0e84c,smc,Christian (any denomination),,2 to 4,Good,Graduate school,CNN,,Comfortable,Not often,male,30_to_44,middle_atlantic,android_mobile,100000_to_124999
118636178039,456809113,06/27/2024 01:56:22 PM,06/27/2024 01:56:46 PM,,,,,8b8a9719a8a32a637cb6366389,smc,Christian (any denomination),,2 to 4,Good,Some College,Facebook,,Very comfortable,Often,female,30_to_44,pacific,android_mobile,125000_to_149999
118636163155,456809113,06/27/2024 01:35:34 PM,06/27/2024 01:36:07 PM,,,,,a37c4df9f62ca837e64b42c9ac,smc,Christian (any denomination),,2 to 4,Good,High school or less,Facebook,,Very comfortable,Often,male,45_to_60,middle_atlantic,android_mobile,175000_to_199999
118636162351,456809113,06/27/2024 01:34:50 PM,06/27/2024 01:35:11 PM,,,,,4e2372bea3ec1c15e41410d596,smc,Christian (any denomination),,2 to 4,Good,High school or less,Facebook,,Very comfortable,Often,female,45_to_60,middle_atlantic,android_mobile,175000_to_199999
118636155967,456809113,06/27/2024 01:26:00 PM,06/27/2024 01:26:37 PM,,,,,8bd975ea37355fa69f219caa11,smc,Christian (any denomination),,None - 0,Good,Graduate school,FOX News,,Comfortable,Often,female,45_to_60,middle_atlantic,android_mobile,75000_to_99999
118636154115,456809113,06/27/2024 01:23:38 PM,06/27/2024 01:24:09 PM,,,,,45cffd3894ac10069d41bed51c,smc,Christian (any denomination),,2 to 4,Good,Graduate school,CNN,,Comfortable,Often,male,45_to_60,middle_atlantic,android_mobile,175000_to_199999
118636153458,456809113,06/27/2024 01:22:56 PM,06/27/2024 01:23:15 PM,,,,,e5e9977937f8dd79078baffe49,smc,Christian (any denomination),,1,Good,Graduate school,Twitter,,Very comfortable,Often,female,45_to_60,middle_atlantic,android_mobile,175000_to_199999
118636151911,456809113,06/27/2024 01:20:47 PM,06/27/2024 01:21:05 PM,,,,,312dee750895995bb917fd2b9e,smc,Christian (any denomination),,5 to 10,Good,Graduate school,FOX News,,Very comfortable,Often,female,45_to_60,middle_atlantic,android_mobile,175000_to_199999
118636123103,456809113,06/27/2024 12:42:29 PM,06/27/2024 12:45:21 PM,,,,,f1f439c1d7382d7afe48e59466,smc,Christian (any denomination),,2 to 4,Good,Some College,Facebook,,Very comfortable,Often,female,30_to_44,south_atlantic,android_mobile,125000_to_149999
118636121642,456809113,06/27/2024 12:43:02 PM,06/27/2024 12:43:22 PM,,,,,a3b874c40ca4350ebd2c48fce1,smc,Other (please specify),R,None - 0,Neutral,High school or less,Other (please specify),Hi,Uncomfortable,Often,female,30_to_44,east_north_central,ios_mobile,10000_to_24999
118636092214,456809113,06/27/2024 12:06:07 PM,06/27/2024 12:08:39 PM,,,,,4b1d28bbfc611d0c97eb44a861,smc,Christian (any denomination),,None - 0,Neutral,College,Other (please specify),cbs local news-morning,Very comfortable,Not often,female,30_to_44,east_north_central,android_mobile,50000_to_74999
118636024427,456809113,06/27/2024 10:58:56 AM,06/27/2024 10:59:14 AM,,,,,f5526a05a0b28154d767f78d66,smc,Christian (any denomination),,5 to 10,Neutral,Graduate school,Twitter,,Very comfortable,Not often,female,45_to_60,middle_atlantic,android_mobile,200000_and_up
118635865550,456809113,06/27/2024 08:11:13 AM,06/27/2024 08:20:11 AM,,,,,c8474e833aeef8b1a54b0d1bf7,smc,Christian (any denomination),,2 to 4,Neutral,Graduate school,CNN,,Neutral,Not often,female,30_to_44,west_south_central,android_mobile,125000_to_149999
118635709755,456809113,06/27/2024 05:18:03 AM,06/27/2024 05:18:34 AM,,,,,736e208c61db8066844eac7219,smc,Muslim,,2 to 4,Neutral,College,Facebook,,Neutral,Not often,female,45_to_60,,ios_mobile,0_to_9999
118635594250,456809113,06/27/2024 01:21:21 AM,06/27/2024 01:22:14 AM,,,,,574279d75f4b1de9ba37a7e4ec,smc,Christian (any denomination),,2 to 4,Good,Graduate school,Twitter,,Comfortable,Not often,female,45_to_60,middle_atlantic,android_mobile,200000_and_up
118635594131,456809113,06/27/2024 01:21:12 AM,06/27/2024 01:21:58 AM,,,,,744eab248d419662726c981c84,smc,Christian (any denomination),,2 to 4,Good,Some College,Facebook,,Very comfortable,Not often,female,45_to_60,west_south_central,ios_mobile,100000_to_124999
118635591246,456809113,06/27/2024 01:12:11 AM,06/27/2024 01:15:27 AM,,,,,439b781843dc58205e4b71271b,smc,Christian (any denomination),,5 to 10,Good,College,CNN,,Comfortable,Often,male,45_to_60,middle_atlantic,android_mobile,150000_to_174999
118635589778,456809113,06/27/2024 01:11:50 AM,06/27/2024 01:12:18 AM,,,,,d77709372c550d338164beaeb3,smc,Christian (any denomination),,5 to 10,Good,High school or less,Facebook,,Very comfortable,Often,male,45_to_60,pacific,android_mobile,125000_to_149999
118635589776,456809113,06/27/2024 01:11:46 AM,06/27/2024 01:12:18 AM,,,,,d931f158e6b01742209f96cbc1,smc,Christian (any denomination),,More than 10,Good,Graduate school,CNN,,Comfortable,Often,male,45_to_60,middle_atlantic,android_mobile,150000_to_174999
118635585864,456809113,06/27/2024 01:02:49 AM,06/27/2024 01:04:16 AM,,,,,afd35f8ee0ca5dc21a8d6b917e,smc,Christian (any denomination),,More than 10,Neutral,College,Other (please specify),"Local news, national television affiliates ",Very comfortable,Not often,female,60_above,south_atlantic,android_mobile,75000_to_99999
118635570041,456809113,06/27/2024 12:27:31 AM,06/27/2024 12:28:39 AM,,,,,da72c64f532f1cb9ef4454cde7,smc,Christian (any denomination),,None - 0,Neutral,College,Other (please specify),Multiple sources,Neutral,I don't know,female,45_to_60,west_south_central,ios_mobile,100000_to_124999
118635569883,456809113,06/27/2024 12:27:37 AM,06/27/2024 12:28:14 AM,,,,,6d8187928911640a4b111357b5,smc,Christian (any denomination),,5 to 10,Good,Graduate school,Facebook,,Very comfortable,Often,female,45_to_60,middle_atlantic,android_mobile,125000_to_149999
118635569692,456809113,06/27/2024 12:26:49 AM,06/27/2024 12:27:46 AM,,,,,70d6ae507a1d41ebe82283945e,smc,Christian (any denomination),,None - 0,Good,Graduate school,Facebook,,Very comfortable,Often,male,45_to_60,middle_atlantic,android_mobile,125000_to_149999
118635569479,456809113,06/27/2024 12:26:45 AM,06/27/2024 12:27:10 AM,,,,,3b08f9da4f26b3ee6b5332b056,smc,Muslim,,More than 10,Good,Graduate school,Twitter,,Very comfortable,Often,male,45_to_60,middle_atlantic,android_mobile,150000_to_174999
118635564894,456809113,06/27/2024 12:15:41 AM,06/27/2024 12:16:45 AM,,,,,87ba0a701bc86af4f105182403,smc,Christian (any denomination),,2 to 4,Neutral,Graduate school,CNN,,Comfortable,Not often,female,45_to_60,middle_atlantic,android_mobile,150000_to_174999
118635553391,456809113,06/26/2024 11:50:54 PM,06/26/2024 11:51:41 PM,,,,,05d6f1c50eb55fec6b3ac33842,smc,Christian (any denomination),,2 to 4,Good,Graduate school,CNN,,Comfortable,Often,female,45_to_60,middle_atlantic,android_mobile,125000_to_149999
118635552053,456809113,06/26/2024 11:47:14 PM,06/26/2024 11:48:27 PM,,,,,e92df414ff167009267b99176b,smc,Christian (any denomination),,5 to 10,Neutral,College,CNN,,Very comfortable,Often,male,45_to_60,middle_atlantic,android_mobile,175000_to_199999
118635552025,456809113,06/26/2024 11:47:15 PM,06/26/2024 11:48:23 PM,,,,,b05182e9cecac2c717a414e428,smc,Other (please specify),Mormon,None - 0,Bad,High school or less,Other (please specify),YouTube,Uncomfortable,Not often,male,45_to_60,pacific,android_mobile,10000_to_24999
118635542183,456809113,06/26/2024 11:22:33 PM,06/26/2024 11:23:01 PM,,,,,f00d83188bacb8c33d317bb011,smc,Christian (any denomination),,2 to 4,Good,Graduate school,Twitter,,Very comfortable,Often,male,45_to_60,pacific,android_mobile,100000_to_124999
118635540248,456809113,06/26/2024 11:15:58 PM,06/26/2024 11:17:44 PM,,,,,8449bf8f3b55b1ed054856eb43,smc,Christian (any denomination),,None - 0,Neutral,Some College,Other (please specify),"radio, news webpages",Comfortable,I don't know,female,60_above,east_south_central,pc_windows,100000_to_124999
118635540195,456809113,06/26/2024 11:16:48 PM,06/26/2024 11:17:37 PM,,,,,6b85051faf705a101904ce83bd,smc,Christian (any denomination),,More than 10,Good,Graduate school,CNN,,Very comfortable,Often,female,45_to_60,middle_atlantic,android_mobile,175000_to_199999
118635532532,456809113,06/26/2024 10:56:58 PM,06/26/2024 10:57:52 PM,,,,,1b6cfd51230c5868b4bcd8bb7d,smc,Atheist,,None - 0,Neutral,College,FOX News,,Comfortable,I don't know,female,45_to_60,pacific,ios_mobile,25000_to_49999
118635529164,456809113,06/26/2024 10:40:08 PM,06/26/2024 10:46:33 PM,,,,,b6ae9a1154615df829704eb6da,smc,Christian (any denomination),,More than 10,Good,Graduate school,Twitter,,Very comfortable,Often,male,45_to_60,pacific,android_mobile,125000_to_149999
118635527104,456809113,06/26/2024 10:39:06 PM,06/26/2024 10:39:49 PM,,,,,47c6319e4879f8a854f7aca8b6,smc,Hindu,,None - 0,Neutral,Some College,CNN,,Neutral,I don't know,female,45_to_60,west_south_central,ios_mobile,0_to_9999
118635526112,456809113,06/26/2024 10:34:18 PM,06/26/2024 10:36:31 PM,,,,,a7b588a7a89d89760934b5747e,smc,Christian (any denomination),,None - 0,Good,Some College,Other (please specify),Aggregated news,Very comfortable,Not often,male,45_to_60,west_south_central,ios_mobile,125000_to_149999
118635519044,456809113,06/26/2024 10:12:06 PM,06/26/2024 10:12:26 PM,,,,,757060f9a18b221165b58eefd2,smc,Christian (any denomination),,2 to 4,Bad,Graduate school,Facebook,,Very comfortable,Often,male,45_to_60,middle_atlantic,android_mobile,175000_to_199999
118635512616,456809113,06/26/2024 09:49:33 PM,06/26/2024 09:50:10 PM,,,,,d5adce9f18edd7cb861ef53857,smc,Other (please specify),ok,5 to 10,Neutral,High school or less,Other (please specify),ok,Very comfortable,Often,male,45_to_60,middle_atlantic,android_mobile,125000_to_149999
118635507671,456809113,06/26/2024 09:31:11 PM,06/26/2024 09:33:00 PM,,,,,12cd846011b81f7d59f3d39c53,smc,Atheist,,None - 0,Good,High school or less,Other (please specify),local news,Very comfortable,Not often,female,45_to_60,new_england,android_mobile,50000_to_74999
118635507395,456809113,06/26/2024 09:31:22 PM,06/26/2024 09:32:06 PM,,,,,ab4574a62fb9f9bc1393b636cd,smc,Christian (any denomination),,None - 0,Neutral,Some College,FOX News,,Neutral,I don't know,female,60_above,mountain,ios_mobile,25000_to_49999
118635507199,456809113,06/26/2024 09:31:09 PM,06/26/2024 09:31:28 PM,,,,,26dddb8780617eebb7c9edcdc1,smc,Christian (any denomination),,None - 0,Neutral,College,FOX News,,Neutral,I don't know,female,45_to_60,south_atlantic,ios_mobile,100000_to_124999
118635507147,456809113,06/26/2024 09:27:56 PM,06/26/2024 09:31:15 PM,,,,,873c5c2b7d3f30019afc5673b7,smc,Christian (any denomination),,5 to 10,Neutral,Graduate school,Other (please specify),My MOMM as she is a News 📰 🗞️ junkie and tells me soooo VERY VERY MUCH EVERY DAY 👀,Comfortable,I don't know,female,60_above,south_atlantic,ios_mobile,50000_to_74999
118635506299,456809113,06/26/2024 09:27:43 PM,06/26/2024 09:28:21 PM,,,,,faa88d6c9865320e07f94a1419,smc,Christian (any denomination),,2 to 4,Good,Graduate school,FOX News,,Very comfortable,Not often,male,60_above,middle_atlantic,android_mobile,200000_and_up
118635500044,456809113,06/26/2024 09:08:39 PM,06/26/2024 09:09:31 PM,,,,,86287460d55d27901a06b1f661,smc,Buddhist,,5 to 10,Neutral,Some College,CNN,,Neutral,Not often,female,60_above,pacific,ios_mobile,200000_and_up
118635498631,456809113,06/26/2024 09:04:34 PM,06/26/2024 09:05:23 PM,,,,,a727991d4c7811d8ea0e46d8b3,smc,Christian (any denomination),,None - 0,Neutral,Graduate school,CNN,,Comfortable,I don't know,male,60_above,south_atlantic,ios_mobile,25000_to_49999
118635494184,456809113,06/26/2024 08:51:00 PM,06/26/2024 08:52:12 PM,,,,,3ee4ff38a836f2dbc1f7c7f795,smc,Christian (any denomination),,5 to 10,Good,Graduate school,Facebook,,Very comfortable,Often,female,45_to_60,south_atlantic,ios_mobile,25000_to_49999
118635492608,456809113,06/26/2024 08:46:51 PM,06/26/2024 08:47:45 PM,,,,,dc5cd3e90ef673a64da3199c23,smc,Christian (any denomination),,1,Neutral,Graduate school,FOX News,,Neutral,Not often,female,30_to_44,south_atlantic,ios_mobile,125000_to_149999
118635488110,456809113,06/26/2024 08:32:59 PM,06/26/2024 08:35:19 PM,,,,,c5b814382c36915d3d2610bd32,smc,Other (please specify),Wiccan/Pagan,None - 0,Good,High school or less,NPR,,Very comfortable,I don't know,female,45_to_60,middle_atlantic,android_mobile,0_to_9999
118635482674,456809113,06/26/2024 08:19:30 PM,06/26/2024 08:20:34 PM,,,,,10333f36627e095710727f6607,smc,Christian (any denomination),,2 to 4,Neutral,Graduate school,CNN,,Very comfortable,Not often,male,60_above,,ios_mobile,200000_and_up
